name,x,y
Kenansville Fire Department,-77.96156245,34.96286703
"Kenly Volunteer Fire Department, Incorporated",-78.125259,35.5942010000001
Kernersville Fire Department,-80.07414519,36.12665946
Kernersville Fire Department,-80.0616976219999,36.098981897
Kernersville Fire Department,-80.12098557,36.1322890800001
Kernersville Fire Department,-80.0997,36.08608
Kernersville Fire Department,-80.01685901,36.11369231
Kill Devil Hills Fire Department,-75.671547,36.0304776500001
"Kimesville Community Fire Department and Rescue, Inc.",-79.57279119,35.93629566
"King's Creek Volunteer Fire Department, Inc.",-81.41344291,35.9826482300001
Kings Mountain Fire Department,-81.34287743,35.2371255100001
Kings Mountain Fire Department,-81.36916437,35.2391051500001
Kinston Department of Fire and Rescue,-77.5752586,35.2684
Kinston Department of Fire and Rescue,-77.61793474,35.29838224
Kinston Department of Fire and Rescue,-77.6482545,35.26557748
"Kittrell Volunteer Fire Department, Incorporated",-78.44145324,36.2226925800001
Kitty Hawk Fire Department,-75.7100984799999,36.06483982
"Klondyke-Chadbourn Volunteer Fire & Rescue, Inc.",-78.8247732899999,34.3244082200001
Knightdale Fire Department,-78.4735939999999,35.8056060000001
Knightdale Fire Department,-78.47844787,35.7892521300001
Knightdale Fire Department,-78.4959210499999,35.75265647
Knightdale Fire Department,-78.5236409999999,35.78788
"Knotville Volunteer Fire Department, Inc.",-81.0907,36.2008000000001
"Kure Beach Volunteer Fire Department, Inc.",-77.910363,33.999264
La Grange Fire Department,-77.7869249,35.30679493
"Lake Gaston Volunteer Fire Department, Inc.",-78.09026822,36.5661508000001
"Lake James Fire and Rescue, Inc.",-81.81283603,35.77293503
"Lake Logan-Cecil Volunteer Fire Department, Inc.",-82.9204999999999,35.4300000000001
"Lake Logan-Cecil Volunteer Fire Department, Inc.",-82.90012899,35.46955717
Lake Lure Fire Department,-82.18784577,35.4203262500001
Lake Lure Fire Department,-82.18825953,35.4622083900001
Lake Norman Volunteer Fire and Rescue Department,-80.9242643699999,35.55577156
Lake Phelps Volunteer Fire Department,-76.4655,35.8304000000001
"Lake Tillery Fire and Rescue, Inc.",-80.07362105,35.3024847900001
"Lake Tillery Fire and Rescue, Inc.",-80.0732,35.2559000000001
"Lake Toxaway Fire Rescue, Inc.",-82.93191458,35.13666232
"Lake Toxaway Fire Rescue, Inc.",-82.9589,35.1049
Lake Waccamaw Fire and Rescue Department,-78.52232005,34.319619
Lake Waccamaw Fire and Rescue Department,-78.55648781,34.2933373600001
"Landis Municipal Fire Department, Inc.",-80.60832146,35.5469214400001
"Landis Municipal Fire Department, Inc.",-80.61340496,35.54460577
"Lanes Creek Volunteer Fire Department, Inc.",-80.43143522,34.8387559700001
"Lansing Volunteer Fire & Rescue, Inc.",-81.5105,36.4983
"Lansing Volunteer Fire & Rescue, Inc.",-81.496613,36.5538260000001
"Lasker Volunteer Fire Department, Incorporated",-77.3085,36.34971296
"Laurel Hill Fire Department, Inc.",-79.5473107299999,34.81340311
"Laurel Springs Volunteer Fire Department, Inc.",-81.263,36.4126000000001
"Laurel Volunteer Fire Department, Inc.",-82.7010160899999,35.96504328
"Laurel Volunteer Fire Department, Inc.",-82.641779,36.007327
"Laurel Volunteer Fire Department, Inc.",-82.6667805,35.9457538
Laurinburg Fire Department,-79.45850303,34.7825480000001
Laurinburg Fire Department,-79.4723482799999,34.7560534900001
Laurinburg Fire Department,-79.5067,34.7275000000001
Lawndale Volunteer Fire Department,-81.5645072899999,35.4130399000001
"Lawsonville Volunteer Fire & Rescue, Inc.",-80.2254766199999,36.48593099
"Leaksville Volunteer Fire Department, Inc.",-79.79539959,36.4788517600001
"Leasburg Volunteer Fire Department, Inc.",-79.2142532399999,36.40365682
"Leasburg Volunteer Fire Department, Inc.",-79.1591,36.3905
"Lebanon Volunteer Fire Department, Inc.",-78.9390999999999,36.11993534
"Lebanon Volunteer Fire Department, Inc.",-78.9129923,36.08855665
"Ledger Fire Department, Inc.",-82.11518047,35.9649649900001
"Leggett Volunteer Fire Department, Inc.",-77.58130041,35.9916956600001
"Leicester Volunteer Fire Department, Incorporated",-82.6960359999999,35.6575510000001
"Leicester Volunteer Fire Department, Incorporated",-82.8118394699999,35.67355688
"Leicester Volunteer Fire Department, Incorporated",-82.7306,35.6060000000001
Lemon Springs Volunteer Fire Department,-79.19281073,35.3892033600001
Lemon Springs Volunteer Fire Department,-79.2307,35.3556
Lenoir Fire Department,-81.5374532399999,35.91490435
Lenoir Fire Department,-81.5171180199999,35.8789086400001
Lenoir Fire Department,-81.50386,35.9254700000001
"Level Cross Voluntary Fire Department, Inc.",-79.8070309999999,35.889152
"Lewis Community Volunteer Fire Department, Inc.",-77.63276974,35.8589565300001
"Lewiston Woodville Volunteer Fire Department, Inc.",-77.17715708,36.1230183500001
Lexington Fire Department,-80.25052834,35.8224957800001
Lexington Fire Department,-80.31396482,35.77682595
Lexington Fire Department,-80.25964332,35.8454956100001
Lexington Fire Department,-80.262238,35.8114650000001
Liberty Fire Department,-79.5805,35.8515999800001
Lilesville Fire Department,-79.98650536,34.96818792
Lillington Fire Department,-78.8161961499999,35.39767641
Lillington Fire Department,-78.79992146,35.3576662500001
Lincolnton Fire Department,-81.258155,35.4719840000001
Lincolnton Fire Department,-81.20157662,35.48756403
"Linville Volunteer Fire Department, Inc.",-81.8699965599999,36.0796056500001
"Linville Volunteer Fire Department, Inc.",-81.8452,36.1245000000001
"Linwood Rural Fire Department, Inc.",-80.3130498,35.7606902200001
"Little Brushy Mountain Volunteer Fire Department, Inc.",-81.0285,36.1253
"Little River Fire Department of Transylvania County, Inc.",-82.6349,35.2572000000001
"Little River Fire Department of Transylvania County, Inc.",-82.66954752,35.2717848200001
"Little River Fire Department, Inc.",-81.403,35.907
"Little River Volunteer Fire Department, Inc.",-78.0708999999999,35.4689000000001
Little Swift Creek Volunteer Fire Department,-77.07002105,35.2276948300001
Little Swift Creek Volunteer Fire Department,-77.0500210499999,35.1678447100001
Little Swift Creek Volunteer Fire Department,-76.99477318,35.25599049
Little Swift Creek Volunteer Fire Department,-77.0845943099999,35.2533696200001
"Littleton Volunteer Fire Department, Inc.",-77.9071,36.4366000000001
"Littleton Volunteer Fire Department, Inc.",-77.85403884,36.4758725400001
"Locke Township Fire Department, Incorporated",-80.58719959,35.6534041
"Locke Township Fire Department, Incorporated",-80.5147137599999,35.66423947
"Locke Township Fire Department, Incorporated",-80.56955364,35.6182351900001
"Lone Hickory Volunteer Fire Department, Inc.",-80.7214262099999,36.06077451
"Long Bridge Volunteer Fire Department, Incorporated",-77.9650869399999,36.4984000000001
"Long Creek Volunteer Fire Department, Inc.",-80.8670999999999,35.3255
Long View Fire Department,-81.3790923,35.72932645
"Longtown Volunteer Fire Department, Inc.",-81.9193,35.7718
Louisburg Fire Department,-78.29895055,36.09716316
"Lovelady Volunteer Fire & Rescue Department, Incorporated",-81.5245249,35.74960844
"Lovelady Volunteer Fire & Rescue Department, Incorporated",-81.5033999999999,35.7403
"Lowell Volunteer Fire Department, Inc.",-81.10041953,35.2653721900001
Lower Currituck V. F. D. Inc.,-75.8868306699999,36.24813794
Lower Currituck V. F. D. Inc.,-75.94455131,36.35382034
Lower Currituck V. F. D. Inc.,-75.8344680499999,36.12230219
"Lucia-Riverbend Volunteer Fire Department, Inc.",-81.00089959,35.3731425300001
"Lumber Bridge Volunteer Fire Department, Inc.",-79.07688425,34.89150333
Lumberton Fire Department,-79.003234,34.6212320000001
Lumberton Fire Department,-79.038754,34.6191850000001
"Lyman Volunteer Fire Department, Inc.",-77.7464375499999,34.8541484200001
Macclesfield Rural Volunteer Fire Department,-77.664305,35.7497980000001
"Macon Rural Fire Department, Inc.",-78.0832831499999,36.4386834200001
Madison Fire Department,-79.9710394699999,36.3881209200001
"Maggie Valley Volunteer Fire Department, Inc.",-83.07754099,35.5120410500001
"Magnolia Volunteer Fire Department, Inc.",-78.05510688,34.8959924000001
Maiden Fire Department,-81.215,35.5766
Maiden Fire Department,-81.2567,35.5899000000001
"Manns Harbor Volunteer Fire Department, Inc.",-75.7683,35.8926000000001
"Mar-Mac Volunteer Fire Department, Inc.",-78.04740041,35.3359800700001
Marion Fire Department,-82.01013411,35.68400043
Mars Hill Volunteer Fire Department,-82.54826437,35.8277825700001
"Marshall Community Volunteer Fire Department, Incorporated",-82.68499079,35.7973672900001
"Marshallberg Voluntary Fire Department, Inc.",-76.5153,34.727
